Entidad,Sector,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01
México,Construcción ,141.4722374,142.016473,135.331351,133.4889496,130.1971254,133.2723297,136.575437,124.4161456,127.8124815,128.6477744,113.4780514,124.77984,136.2936409
México,Industrias manufactureras ,102.0213423,95.80957043,98.19149703,100.4353568,105.8632289,106.6016369,103.8822811,105.4664831,103.039229,109.4589665,105.0904398,95.76721139,97.94338783
Michoacán de Ocampo,Actividades secundarias ,99.79661685,104.1485253,107.3105586,105.2849321,107.8100131,102.3575142,101.2088653,96.7294672,95.12385525,100.4283308,93.9781029,94.79829256,100.8902803
Michoacán de Ocampo,Minería ,67.87397823,62.47069482,71.14734408,75.82402917,76.3954502,59.31715418,57.6924056,64.23075813,54.43796867,50.91143903,47.81390576,56.47576402,59.58470882
Michoacán de Ocampo,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",107.8711152,112.9490437,108.5195756,111.7617951,110.235808,113.2570237,114.2323653,102.5621726,109.4682657,114.1831539,124.5669468,109.6125288,116.1574661
Michoacán de Ocampo,Construcción ,110.2197276,115.2614089,109.8271821,113.9262032,115.9154729,105.8236849,106.1419642,102.0049087,105.7962478,117.6078156,97.07628304,100.762108,116.618005
Michoacán de Ocampo,Industrias manufactureras ,95.59103251,100.2013585,108.5553671,102.0613148,105.7259528,101.9034654,99.68488696,95.50797591,90.32146035,93.18468939,90.39374426,92.05560431,93.47618038
Morelos,Actividades secundarias ,109.7598605,109.9040498,107.5070025,103.821281,103.6762127,113.3855366,105.0114518,110.9329382,107.3542797,113.2615688,116.5163253,111.8952754,113.0233996
Morelos,Minería ,105.2846745,104.4610964,111.8170916,111.2040854,106.4559386,113.0923209,109.8080999,107.0954106,105.0116845,112.5049874,115.9915995,113.6165205,104.9104212
Morelos,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",116.0064246,119.215894,111.4146935,126.4279275,116.5614343,119.060905,117.7291557,118.3874341,119.3482779,122.7925009,127.8638946,124.5764335,120.5338339
Morelos,Construcción ,112.6096899,132.5670578,119.8836483,122.15828,111.3409397,140.7217469,127.8626599,118.2668941,116.6952098,126.3858897,138.687231,135.5862289,133.8145738
